"Conta";"Data_Mov";"Nr_Doc";"Historico";"Valor";"Deb_Cred"
"3000003000004238";"20190201";"000033";"CRED TED";"12332.51";"C"
"3000003000004238";"20190201";"000756";"CRED TED";"8254.50";"C"
"3000003000004238";"20190201";"080973";"CRED TEV";"1940.00";"C"
"3000003000004238";"20190201";"154427";"CRED TEV";"1273.00";"C"
"3000003000004238";"20190201";"154839";"CRED TEV";"2729.55";"C"
"3000003000004238";"20190201";"196523";"CRED TEV";"27591.99";"C"
"3000003000004238";"20190201";"233947";"CRED TEV";"53594.42";"C"
"3000003000004238";"20190201";"586466";"PAG BOLETO";"4451.86";"D"
"3000003000004238";"20190201";"589669";"PAG BOLETO";"1159.90";"D"
"3000003000004238";"20190201";"120826";"ENVIO TED";"13000.00";"D"
"3000003000004238";"20190201";"121368";"ENVIO TED";"15690.00";"D"
"3000003000004238";"20190201";"122160";"ENVIO TED";"5640.00";"D"
"3000003000004238";"20190201";"219435";"ENVIO TEV";"2210.00";"D"
"3000003000004238";"20190201";"240340";"ENVIO TEV";"1004.07";"D"
"3000003000004238";"20190201";"243842";"ENVIO TEV";"509.50";"D"
"3000003000004238";"20190201";"245089";"ENVIO TEV";"200.00";"D"
"3000003000004238";"20190201";"246107";"ENVIO TEV";"391.00";"D"
"3000003000004238";"20190201";"246785";"ENVIO TEV";"391.00";"D"
"3000003000004238";"20190201";"248434";"ENVIO TEV";"437.00";"D"
"3000003000004238";"20190201";"250555";"ENVIO TEV";"495.00";"D"
"3000003000004238";"20190201";"265813";"ENVIO TEV";"1400.00";"D"
"3000003000004238";"20190201";"900001";"DEB.JUROS";"1203.12";"D"
"3000003000004238";"20190201";"000000";"DEB.IOF";"334.37";"D"
"3000003000004238";"20190204";"000033";"CRED TED";"14332.43";"C"
"3000003000004238";"20190204";"000237";"CRED TED";"2500.00";"C"
"3000003000004238";"20190204";"001845";"DP DINH AG";"3960.16";"C"
"3000003000004238";"20190204";"021156";"SAQUE ATM";"1500.00";"D"
"3000003000004238";"20190204";"763470";"PAG BOLETO";"751.85";"D"
"3000003000004238";"20190204";"765231";"PAG BOLETO";"266.00";"D"
"3000003000004238";"20190204";"767068";"PAG BOLETO";"760.00";"D"
"3000003000004238";"20190204";"768668";"PAG BOLETO";"604.16";"D"
"3000003000004238";"20190204";"770503";"PAG BOLETO";"317.66";"D"
"3000003000004238";"20190204";"772452";"PAG BOLETO";"875.81";"D"
"3000003000004238";"20190204";"774095";"PAG BOLETO";"485.86";"D"
"3000003000004238";"20190204";"775934";"PAG BOLETO";"438.00";"D"
"3000003000004238";"20190204";"785517";"PAG BOLETO";"175.85";"D"
"3000003000004238";"20190204";"787754";"PAG BOLETO";"386.97";"D"
"3000003000004238";"20190204";"129583";"ENVIO TED";"2680.00";"D"
"3000003000004238";"20190204";"130079";"ENVIO TED";"2720.00";"D"
"3000003000004238";"20190204";"130486";"ENVIO TED";"12000.00";"D"
"3000003000004238";"20190204";"132691";"ENVIO TED";"6286.87";"D"
"3000003000004238";"20190204";"017781";"ENVIO TEV";"349.00";"D"
"3000003000004238";"20190204";"017902";"ENVIO TEV";"981.52";"D"
"3000003000004238";"20190204";"017980";"ENVIO TEV";"668.80";"D"
"3000003000004238";"20190204";"018028";"ENVIO TEV";"599.97";"D"
"3000003000004238";"20190204";"113976";"ENVIO TEV";"600.00";"D"
"3000003000004238";"20190204";"234733";"ENVIO TEV";"114.20";"D"
"3000003000004238";"20190204";"236292";"ENVIO TEV";"1375.00";"D"
"3000003000004238";"20190205";"204919";"CRED TEV";"2340.00";"C"
"3000003000004238";"20190205";"206307";"CRED TEV";"1721.87";"C"
"3000003000004238";"20190205";"051042";"SAQUE ATM";"1500.00";"D"
"3000003000004238";"20190205";"802740";"PAG BOLETO";"570.00";"D"
"3000003000004238";"20190205";"804170";"PAG BOLETO";"771.92";"D"
"3000003000004238";"20190205";"807264";"PAG BOLETO";"462.00";"D"
"3000003000004238";"20190205";"808794";"PAG BOLETO";"303.00";"D"
"3000003000004238";"20190205";"112784";"ENVIO TED";"15740.00";"D"
"3000003000004238";"20190205";"120276";"ENVIO TED";"2000.00";"D"
"3000003000004238";"20190205";"120798";"ENVIO TED";"6200.00";"D"
"3000003000004238";"20190205";"129262";"ENVIO TED";"1685.00";"D"
"3000003000004238";"20190205";"262218";"ENVIO TEV";"440.00";"D"
"3000003000004238";"20190205";"266313";"ENVIO TEV";"3000.00";"D"
"3000003000004238";"20190205";"269673";"ENVIO TEV";"875.00";"D"
"3000003000004238";"20190205";"275546";"ENVIO TEV";"300.00";"D"
"3000003000004238";"20190205";"281213";"ENVIO TEV";"437.00";"D"
"3000003000004238";"20190205";"284257";"ENVIO TEV";"780.00";"D"
"3000003000004238";"20190205";"285271";"ENVIO TEV";"509.50";"D"
"3000003000004238";"20190205";"287479";"ENVIO TEV";"688.00";"D"
"3000003000004238";"20190205";"303125";"ENVIO TEV";"688.00";"D"
"3000003000004238";"20190205";"314280";"ENVIO TEV";"2251.00";"D"
"3000003000004238";"20190206";"000033";"CRED TED";"12723.69";"C"
"3000003000004238";"20190206";"000237";"CRED TED";"16840.41";"C"
"3000003000004238";"20190206";"113172";"ENVIO TED";"9300.00";"D"
"3000003000004238";"20190206";"335368";"ENVIO TEV";"6200.00";"D"
"3000003000004238";"20190206";"336550";"ENVIO TEV";"10111.00";"D"
"3000003000004238";"20190206";"345573";"ENVIO TEV";"360.00";"D"
"3000003000004238";"20190206";"346686";"ENVIO TEV";"288.00";"D"
"3000003000004238";"20190207";"000745";"CRED TED";"1300.00";"C"
"3000003000004238";"20190207";"000745";"CRED TED";"99.05";"C"
